Trial,time,PositionX,PositionY,PositionZ,frameDiff,
1,4.079997,1.434621,-3.70037,10,,
1,4.099997,1.582848,-3.673902,10,,
1,4.119997,1.688724,-3.647432,10,0.535408,
1,4.139997,1.836951,-3.605082,10,,
1,4.159997,1.937533,-3.568025,10,,
1,4.179997,2.038116,-3.520381,10,0.3930633,
1,4.199997,2.186343,-3.456855,10,,
1,4.219997,2.329274,-3.39333,10,0.2488668,
1,4.239997,2.435151,-3.345685,10,,
1,4.259997,2.535733,-3.30863,10,,
1,4.279997,2.689254,-3.245103,10,0.1779545,
1,4.299997,2.837481,-3.186872,10,,
1,4.319997,2.938063,-3.149815,10,,
1,4.339997,3.086289,-3.096876,10,0.07940674,
1,4.359997,3.192165,-3.05982,10,,
1,4.379997,3.340392,-3.006882,10,0.1616125,
1,4.399997,3.430386,-2.985706,10,,
1,4.419997,3.557438,-2.959238,10,0.1806879,
1,4.439997,3.626258,-2.943357,10,,
1,4.459997,3.732133,-2.938062,10,,
1,4.479997,3.79566,-2.938062,10,0.1871641,
1,4.499997,3.88036,-2.953944,10,,
1,4.519997,3.933299,-2.964531,10,,
1,4.539997,3.986236,-2.985706,10,,
1,4.559997,4.070937,-3.017469,10,0.07122093,
1,4.579997,4.166225,-3.05982,10,,
1,4.599997,4.224457,-3.086289,10,,
1,4.619997,4.319746,-3.123346,10,,
1,4.639997,4.377978,-3.144521,10,0.304704,
1,4.659997,4.462678,-3.17099,10,,
1,4.679996,4.510324,-3.181578,10,,
1,4.699996,4.552673,-3.186872,10,,
1,4.719996,4.557967,-3.186872,10,,
1,4.739996,4.563261,-3.176283,10,,
1,4.759996,4.563261,-3.139227,10,,
1,4.779996,4.536792,-3.075702,10,,
1,4.799996,4.510324,-3.022764,10,,
1,4.819996,4.473266,-2.94865,10,,
1,4.839996,4.452091,-2.895712,10,,
1,4.859996,4.415035,-2.811011,10,0.0688196,
1,4.879996,4.388565,-2.752779,10,,
1,4.899996,4.351509,-2.662785,10,,
1,4.919996,4.330334,-2.604553,10,,
1,4.939996,4.303864,-2.514558,10,0.2410861,
1,4.959996,4.287983,-2.451032,10,0.2567911,
1,4.979996,4.261515,-2.355743,10,0.2595581,
1,4.999996,4.235044,-2.297512,10,0.2606899,
1,5.019996,4.192695,-2.202224,10,,
1,5.039996,4.160931,-2.143991,10,0.2508288,
1,5.059996,4.1027,-2.053997,10,,
1,5.079996,4.065643,-1.995765,10,0.2583136,
1,5.099996,4.002117,-1.90577,10,,
1,5.119996,3.959767,-1.852832,10,,
1,5.139996,3.890948,-1.773425,10,0.2660106,
1,5.159996,3.838009,-1.720487,10,,
1,5.179996,3.753308,-1.641079,10,0.2763443,
1,5.199996,3.700371,-1.588142,10,,
1,5.219996,3.620964,-1.524616,10,,
1,5.239996,3.562732,-1.476972,10,0.2980081,
1,5.259996,3.515087,-1.434621,10,,
1,5.279996,3.451561,-1.381683,10,,
1,5.299996,3.388036,-1.318157,10,,
1,5.319996,3.340392,-1.281101,10,0.2543786,
1,5.339996,3.271572,-1.222869,10,,
1,5.359996,3.21334,-1.175225,10,,
1,5.379996,3.155109,-1.132874,10,,
1,5.399996,3.059821,-1.069348,10,0.2502126,
1,5.419996,2.953944,-1.000529,10,,
1,5.439996,2.874537,-0.9528849,10,,
1,5.459996,2.75278,-0.8734781,10,0.2123471,
1,5.479996,2.678666,-0.8205399,10,,
1,5.499996,2.562202,-0.7305452,10,,
1,5.519996,2.488089,-0.6670195,10,0.2523873,
1,5.539996,2.408681,-0.5982,10,,
1,5.559996,2.3081,-0.4923239,10,,
1,5.579996,2.218105,-0.3705665,10,0.123472,
1,5.599996,2.165166,-0.2911595,10,,
1,5.619996,2.106936,-0.1694018,10,0.1641933,
1,5.639996,2.075172,-0.0794071,10,,
1,5.659996,2.038116,0.05293787,10,,
1,5.679996,2.032822,0.1482266,10,0.03086783,
