Trial,time,PositionX,PositionY,PositionZ,frameDiff
1,8.159997,-2.496434,-0.06825835,10,0.2124956
1,8.179997,-2.519181,-0.193401,10,0.1841999
1,8.199998,-2.564674,-0.4323086,10,0.1879383
1,8.219998,-2.610167,-0.6029573,10,0.2867297
1,8.239999,-2.65566,-0.7394761,10,0
1,8.259999,-2.701153,-0.8532414,10,0
1,8.28,-2.735273,-1.012514,10,0
1,8.3,-2.735273,-1.171785,10,0
1,8.320001,-2.735273,-1.262798,10,0
1,8.340001,-2.7239,-1.35381,10,0
1,8.360002,-2.701153,-1.38794,10,0
1,8.380002,-2.667033,-1.399317,10,0
1,8.400002,-2.644287,-1.399317,10,0
1,8.420003,-2.576047,-1.38794,10,0
1,8.440003,-2.519181,-1.319681,10,0
1,8.460004,-2.439568,-1.183162,10,0
1,8.480004,-2.348582,-1.001136,10,0.7348796
1,8.500005,-2.257595,-0.8304879,10,0
1,8.520005,-2.121116,-0.6257096,10,0.536243
1,8.540006,-2.086996,-0.5688274,10,0.5176001
1,8.560006,-2.06425,-0.5460739,10,0
1,8.580007,-2.041503,-0.5346978,10,0.5201681
1,8.600007,-2.041503,-0.5346978,10,0.4921677
1,8.620008,-1.950517,-0.5460739,10,0.4701622
1,8.640008,-1.859531,-0.5688274,10,0.4096673
1,8.660008,-1.723052,-0.6257096,10,0.3765355
1,8.680009,-1.552452,-0.6939691,10,0.404789
1,8.700009,-1.393227,-0.8077353,10,0.4864092
1,8.72001,-1.313614,-0.8759949,10,0.565806
1,8.74001,-1.177134,-1.069396,10,0
1,8.760011,-1.131641,-1.160408,10,0
1,8.780011,-1.097521,-1.296927,10,0.7098296
1,8.800012,-1.086147,-1.478952,10,0
1,8.820012,-1.074775,-1.638224,10,0.7202265
1,8.840013,-1.074775,-1.888508,10,0
1,8.860013,-1.074775,-2.036404,10,0.7211826
1,8.880013,-1.074775,-2.138793,10,0
1,8.900014,-1.074775,-2.252559,10,0
1,8.920014,-1.052028,-2.457337,10,0
1,8.940015,-1.052028,-2.662115,10,0.7235415
1,8.960015,-1.052028,-2.77588,10,0
1,8.980016,-1.040655,-2.957906,10,0.7601992
1,9.000016,-1.040655,-3.083048,10,0
1,9.020017,-1.040655,-3.242321,10,0
1,9.040017,-1.040655,-3.356085,10,0.790127
1,9.060018,-1.052028,-3.458474,10,0
1,9.080018,-1.074775,-3.503981,10,0
1,9.100019,-1.188507,-3.583617,10,0
1,9.120019,-1.290867,-3.629123,10,0.5853962
1,9.140019,-1.575199,-3.686006,10,0
1,9.16002,-1.734425,-3.731512,10,0.1940168
1,9.18002,-1.905024,-3.777019,10,0
1,9.200021,-2.007383,-3.799771,10,0.06854457
1,9.220021,-2.155236,-3.799771,10,0.1775738
1,9.240022,-2.257595,-3.799771,10,0.237402
1,9.260022,-2.359955,-3.799771,10,0.273013
1,9.280023,-2.462314,-3.765641,10,0.3193236
1,9.300023,-2.519181,-3.731512,10,0.3187978
1,9.320024,-2.58742,-3.663253,10,0.3430033
1,9.340024,-2.644287,-3.583617,10,0.377266
1,9.360024,-2.769392,-3.401592,10,0.5163466
1,9.380025,-2.814886,-3.230943,10,0.5885227
1,9.400025,-2.826259,-3.071672,10,0
1,9.420026,-2.826259,-2.832763,10,0.6624574
1,9.440026,-2.826259,-2.673491,10,0.699447
1,9.460027,-2.746646,-2.502843,10,0
1,9.480027,-2.701153,-2.377701,10,0.6450812
1,9.500028,-2.58742,-2.184299,10,0
1,9.520028,-2.473687,-2.013651,10,0.5339445
1,9.540029,-2.303088,-1.729237,10,0.4991731
1,9.560029,-2.177983,-1.581341,10,0.4933416
1,9.580029,-1.99601,-1.399317,10,0
1,9.60003,-1.870904,-1.262798,10,0.4406101
1,9.62003,-1.666185,-1.069396,10,0
1,9.640031,-1.552452,-0.9556302,10,0.4869878
1,9.660031,-1.33636,-0.7508522,10,0.587087
1,9.680032,-1.177134,-0.6257096,10,0
1,9.700032,-0.8928022,-0.4436851,10,0.6354478
1,9.720033,-0.6880829,-0.352672,10,0
1,9.740033,-0.4037508,-0.2616602,10,0.5787026
1,9.760034,-0.2104057,-0.2161533,10,0.3297479
1,9.780034,0.01705954,-0.1592711,10,0.07326325
1,9.800035,0.3810059,-0.02275258,10,0.381355
1,9.820035,0.6767105,0.1251435,10,0
1,9.840035,0.8018162,0.2047789,10,0.7908099
1,9.860036,0.8814286,0.2730387,10,0
1,9.880036,0.9041758,0.3071684,10,0
1,9.900037,0.9155489,0.3526741,10,0
1,9.920037,0.926923,0.3754276,10,0
1,9.940038,0.926923,0.3981811,10,0
1,9.960038,0.926923,0.4209334,10,0.8972495
1,9.980039,0.926923,0.455063,10,0.6568063
1,10.00004,0.926923,0.6484652,10,0
1,10.02004,0.8700556,0.9897625,10,0.2640435
1,10.04004,0.8586825,1.149035,10,0
1,10.06004,0.8586825,1.319683,10,0
1,10.08004,0.8586825,1.444824,10,0
1,10.10004,0.9041758,1.62685,10,0.3741874
1,10.12004,0.9496691,1.751992,10,0
1,10.14004,1.017908,1.865758,10,0
1,10.16004,1.052028,1.899888,10,0
1,10.18004,1.108895,1.934018,10,0
1,10.20004,1.143014,1.934018,10,0
1,10.22004,1.199882,1.95677,10,0.3952205
1,10.24004,1.256747,1.979523,10,0
1,10.26005,1.359106,2.013654,10,0
1,10.28005,1.461466,2.036407,10,0
1,10.30005,1.632065,2.025029,10,0.1543338
1,10.32005,1.768545,1.990899,10,0
1,10.34005,2.007383,1.934018,10,0.1250959
1,10.36005,2.132489,1.899888,10,0.1377649
1,10.38005,2.234848,1.843005,10,0.137641
1,10.40005,2.337208,1.740616,10,0.1770874
1,10.42005,2.473688,1.535838,10,0.2525838
1,10.44005,2.541927,1.365189,10,0.2781614
1,10.46005,2.576047,1.183164,10,0.2818604
1,10.48005,2.576047,1.046645,10,0.2656016
1,10.50005,2.576047,0.8646196,10,0.2672076
1,10.52005,2.576047,0.7394779,10,0.2834318
1,10.54005,2.576047,0.5915821,10,0.3263766
1,10.56005,2.5533,0.4323107,10,0
1,10.58005,2.496434,0.2957922,10,0.4271378
1,10.60005,2.473688,0.2161556,10,0
1,10.62005,2.439568,0.1251435,10,0
1,10.64005,2.428195,0.05688429,10,0
1,10.66005,2.405447,0.01137733,10,0.6299263
1,10.68005,2.394074,-0.03412873,10,0
1,10.70006,2.371328,-0.07963449,10,0
1,10.72006,2.359955,-0.1137641,10,0
1,10.74006,2.348581,-0.1365176,10,0
1,10.76006,2.337208,-0.147894,10,0
1,10.78006,2.291715,-0.147894,10,0
1,10.80006,2.268969,-0.1251414,10,0
1,10.82006,2.246223,-0.09101182,10,0
1,10.84006,2.03013,0.1365197,10,0.4631119
1,10.86006,1.916397,0.2616626,10,0
1,10.88006,1.768545,0.4209334,10,0.3334526
1,10.90006,1.666185,0.6143355,10,0.3065464
1,10.92006,1.632065,0.7394779,10,0.2769496
1,10.94006,1.609319,0.9556329,10,0.2663587
1,10.96006,1.609319,1.092151,10,0.2502016
1,10.98006,1.609319,1.29693,10,0.293914
1,11.00006,1.609319,1.410695,10,0.288222
1,11.02006,1.643439,1.524461,10,0.2636268
1,11.04006,1.700304,1.683732,10,0.2748528
1,11.06006,1.745799,1.797498,10,0.2653285
1,11.08006,1.802664,1.95677,10,0.3083104
1,11.10006,1.870904,2.093288,10,0.3516664
1,11.12006,1.927771,2.161548,10,0.3558056
1,11.14007,1.984637,2.229807,10,0.3768232
1,11.16007,2.018756,2.263937,10,0.3866156
1,11.18007,2.041503,2.286691,10,0
1,11.20007,2.109743,2.320821,10,0.3873276
1,11.22007,2.189355,2.343574,10,0.3556772
1,11.24007,2.325835,2.377703,10,0.2988465
1,11.26007,2.428195,2.400455,10,0.2380428
1,11.28007,2.62154,2.445962,10,0.1645036
1,11.30007,2.780766,2.468715,10,0.1390041
1,11.32007,2.974112,2.480093,10,0.2514869
1,11.34007,3.133338,2.480093,10,0.3989293
1,11.36007,3.38355,2.480093,10,0
1,11.38007,3.645135,2.480093,10,0
1,11.40007,3.758867,2.480093,10,0
1,11.42007,3.929467,2.480093,10,0
1,11.44007,3.97496,2.491469,10,0
