Trial,time,PositionX,PositionY,PositionZ,frameDiff,userLevel,trialOffset,levelOffset
5,11.88008,2.735273,-1.467576,10,0,3,10,5
5,11.90008,2.735273,-1.535835,10,0.103593,3,10,5
5,11.92008,2.735273,-1.558589,10,0,3,10,5
5,11.94008,2.723899,-1.592718,10,0,3,10,5
5,11.96008,2.712526,-1.615471,10,0,3,10,5
5,11.98008,2.678407,-1.649601,10,0,3,10,5
5,12.00008,2.632914,-1.672354,10,0,3,10,5
5,12.02009,2.58742,-1.68373,10,0.1288059,3,10,5
5,12.04009,2.496434,-1.706484,10,0,3,10,5
5,12.06009,2.428195,-1.706484,10,0,3,10,5
5,12.08009,2.325835,-1.706484,10,0.0978743,3,10,5
5,12.10009,2.257596,-1.706484,10,0,3,10,5
5,12.12009,2.09837,-1.68373,10,0.1830903,3,10,5
5,12.14009,1.939144,-1.672354,10,0,3,10,5
5,12.16009,1.848157,-1.660978,10,0.24417,3,10,5
5,12.18009,1.768545,-1.649601,10,0,3,10,5
5,12.20009,1.723052,-1.638224,10,0,3,10,5
5,12.22009,1.666185,-1.638224,10,0.2889786,3,10,5
5,12.24009,1.654812,-1.626848,10,0,3,10,5
5,12.26009,1.597946,-1.615471,10,0,3,10,5
5,12.28009,1.54108,-1.592718,10,0,3,10,5
5,12.30009,1.404601,-1.558589,10,0.3467765,3,10,5
5,12.32009,1.324986,-1.547211,10,0.3433299,3,10,5
5,12.34009,1.222628,-1.524459,10,0.3344254,3,10,5
5,12.36009,1.131642,-1.501705,10,0.3065905,3,10,5
5,12.38009,1.017908,-1.4562,10,0.2604252,3,10,5
5,12.40009,0.9496691,-1.433446,10,0.1876981,3,10,5
5,12.42009,0.8586825,-1.399317,10,0.1020234,3,10,5
5,12.44009,0.8245634,-1.38794,10,0.05014572,3,10,5
5,12.4601,0.7904432,-1.376563,10,0,3,10,5
5,12.4801,0.7676959,-1.35381,10,0,3,10,5
5,12.5001,0.7335768,-1.331057,10,0,3,10,5
5,12.5201,0.7222038,-1.308303,10,0.1691022,3,10,5
5,12.5401,0.6767105,-1.274174,10,0,3,10,5
5,12.5601,0.6425903,-1.262798,10,0,3,10,5
5,12.5801,0.5857239,-1.240044,10,0,3,10,5
5,12.6001,0.4719913,-1.228668,10,0,3,10,5
5,12.6201,0.2900181,-1.217292,10,0,3,10,5
5,12.6401,0.1649124,-1.217292,10,0,3,10,5
5,12.6601,0.005687688,-1.262798,10,0,3,10,5
5,12.6801,-0.08529948,-1.285551,10,0,3,10,5
5,12.7001,-0.1876591,-1.319681,10,0,3,10,5
5,12.7201,-0.2900187,-1.342433,10,0,3,10,5
5,12.7401,-0.4037508,-1.365187,10,0,3,10,5
5,12.7601,-0.4378704,-1.365187,10,0,3,10,5
5,12.7801,-0.4492446,-1.365187,10,0,3,10,5
5,12.8001,-0.4492446,-1.365187,10,0,3,10,5
5,12.8201,-0.4719901,-1.342433,10,0,3,10,5
5,12.8401,-0.5061104,-1.285551,10,0,3,10,5
5,12.8601,-0.54023,-1.240044,10,1.360133,3,10,5
5,12.88011,-0.597097,-1.137655,10,0.421133,3,10,5
5,12.90011,-0.6539633,-0.9897602,10,0.3957215,3,10,5
5,12.92011,-0.6767094,-0.8987471,10,0.3986339,3,10,5
5,12.94011,-0.7563229,-0.7394761,10,0.4915861,3,10,5
5,12.96011,-0.8018162,-0.6825927,10,0.3056929,3,10,5
5,12.98011,-0.8586825,-0.6029573,10,0.3844775,3,10,5
5,13.00011,-0.881428,-0.5802038,10,0.1684156,3,10,5
5,13.02011,-0.9610421,-0.5346978,10,0.03250483,3,10,5
5,13.04011,-1.074775,-0.4778147,10,0.1114166,3,10,5
5,13.06011,-1.177134,-0.4436851,10,0,3,10,5
5,13.08011,-1.211254,-0.4323086,10,0,3,10,5
